False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.40816326530612246,1.0
0.0,0.4489795918367347,0.9999999943491258
0.0,0.48299319727891155,0.9999999937211465
0.0,0.4897959183673469,0.9999999937041654
0.0,0.5102040816326531,0.999999993023992
0.0,0.8707482993197279,0.9998638793395482
0.0064516129032258064,0.8707482993197279,0.9997484863591121
0.0064516129032258064,0.9251700680272109,0.9953456494129005
0.012903225806451613,0.9251700680272109,0.9665743160542186
0.012903225806451613,0.9319727891156463,0.964777236434947
0.025806451612903226,0.9319727891156463,0.9541027423876429
0.025806451612903226,0.9523809523809523,0.7551274305499825
0.05806451612903226,0.9523809523809523,0.48380215019969725
0.05806451612903226,0.9591836734693877,0.4762087434291682
0.07741935483870968,0.9591836734693877,0.2559428704795864
0.07741935483870968,0.9727891156462585,0.14851310669304377
0.3161290322580645,0.9727891156462585,3.269910247407728e-06
0.3161290322580645,0.9795918367346939,2.2729753478228605e-06
0.3419354838709677,0.9795918367346939,1.4927117689063736e-06
0.3419354838709677,0.9863945578231292,1.41034531160174e-06
0.36129032258064514,0.9863945578231292,9.029035591437067e-07
0.36129032258064514,0.9931972789115646,8.056755209597407e-07
0.7548387096774194,0.9931972789115646,2.0027682307894256e-08
0.7548387096774194,1.0,1.9009203665037364e-08
1.0,1.0,8.65777945750093e-09
